2018-07-10 19:31:48,230-INFO: 
*********************2018-07-10_19-31-48 Mason_bbox2mysql*********************
2018-07-10 19:31:48,230-INFO: read index table from database to get id_project and task bounds
2018-07-10 19:31:48,230-INFO: connet to MySQL...
2018-07-10 19:31:50,593-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,594-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,595-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,596-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,598-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,599-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,600-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,601-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,602-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,603-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,604-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,605-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,607-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,608-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,608-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,609-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,610-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,612-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,614-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,615-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,616-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,617-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,618-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,619-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,620-INFO: The 2 row insert commit,project:189 task:2513
2018-07-10 19:31:50,622-INFO: The 2 row insert commit,project:189 task:2513
